id_ubicacion,ubigeo_pjfs,distrito_fiscal,dpto_pjfs,prov_pjfs,dist_pjfs
1,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
2,020101,ANCASH,ANCASH,HUARAZ,HUARAZ
3,030101,APURIMAC,APURIMAC,ABANCAY,ABANCAY
4,040101,AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA
5,050110,AYACUCHO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA
6,060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,CAJAMARCA
7,070101,CALLAO,CALLAO,CALLAO,CALLAO
8,150501,CAÑETE,LIMA,CAÑETE,SAN VICENTE DE CAÑETE
9,080108,CUSCO,CUSCO,CUSCO,WANCHAQ
10,090101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA
11,100101,HUANUCO,HUANUCO,HUANUCO,HUANUCO
12,150801,HUAURA,LIMA,HUAURA,HUACHO
13,110101,ICA,ICA,ICA,ICA
14,120114,JUNIN,JUNIN,HUANCAYO,EL TAMBO
15,130101,LA LIBERTAD,LA LIBERTAD,TRUJILLO,TRUJILLO
16,140101,LAMBAYEQUE,LAMBAYEQUE,CHICLAYO,CHICLAYO
17,150101,LIMA CENTRO,LIMA,LIMA,LIMA
18,150137,LIMA ESTE,LIMA,LIMA,SANTA ANITA
19,070106,LIMA NOROESTE,CALLAO,CALLAO,VENTANILLA
20,150112,LIMA NORTE,LIMA,LIMA,INDEPENDENCIA
21,150142,LIMA SUR,LIMA,LIMA,VILLA EL SALVADOR
22,160101,LORETO,LORETO,MAYNAS,IQUITOS
23,170101,MADRE DE DIOS,MADRE DE DIOS,TAMBOPATA,TAMBOPATA
24,180101,MOQUEGUA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA
25,190113,PASCO,PASCO,PASCO,YANACANCHA
26,200101,PIURA,PIURA,PIURA,PIURA
27,210101,PUNO,PUNO,PUNO,PUNO
28,220101,SAN MARTIN,SAN MARTIN,MOYOBAMBA,MOYOBAMBA
29,021801,SANTA,ANCASH,SANTA,CHIMBOTE
30,120301,SELVA CENTRAL,JUNIN,CHANCHAMAYO,CHANCHAMAYO
31,200601,SULLANA,PIURA,SULLANA,SULLANA
32,230101,TACNA,TACNA,TACNA,TACNA
33,240101,TUMBES,TUMBES,TUMBES,TUMBES
34,250101,UCAYALI,UCAYALI,CORONEL PORTILLO,CALLERIA
