dpto_pjfs,area_km2,poblacion,decidad_hab-km
AMAZONAS  ,"39,249","430,000",10.95569314
ANCASH  ,"35,914","1,200,000",33.41315364
APURIMAC  ,"20,896","450,000",21.53522205
AREQUIPA  ,"63,345","1,500,000",23.67984845
AYACUCHO  ,"43,815","650,000",14.83510213
CAJAMARCA  ,"33,318","1,400,000",42.01932889
CALLAO  ,147,"1,100,000",7482.993197
CUSCO  ,"71,986","1,400,000",19.44822604
HUANCAVELICA  ,"22,131","350,000",15.81492025
HUANUCO  ,"36,849","800,000",21.7102228
ICA  ,"21,328","900,000",42.19804951
JUNIN  ,"44,197","1,300,000",29.41376112
LA LIBERTAD  ,"25,500","2,000,000",78.43137255
LAMBAYEQUE  ,"14,231","1,300,000",91.34987
LIMA  ,"2,672","10,500,000",3929.640719
LORETO  ,"368,852","1,100,000",2.982225933
MADRE DE DIOS  ,"85,301","150,000",1.758478799
MOQUEGUA  ,"15,734","200,000",12.71132579
PASCO  ,"25,320","300,000",11.84834123
PIURA  ,"35,892","2,000,000",55.72272373
PUNO  ,"71,999","1,200,000",16.66689815
SAN MARTIN  ,"51,253","900,000",17.55994771
TACNA  ,"16,076","350,000",21.77158497
TUMBES  ,"4,046","250,000",61.78942165
UCAYALI  ,"101,831","600,000",5.892115368
